company_name,street_address,city,state,zip_code,mobile_no,username,email,website_url,user_image,auth_level,created_date,user_status,longitude,street,latitude,zip_code_covered,country_code
"Diversified Electric Services, Inc.",2725 Westinghouse Blvd. Suite 1000,Charlotte,NC,28273,(704) 423-8890,,ken@diversifiedelectricservices.com,,,2,,1,,,,28273,
"Eagle Vision Plumbing, Inc.",P.O. Box 667695,Charlotte,NC,28266,(704) 937-5267,,jaimemelendes@hotmail.com,,,2,,1,,,,28266,
"Heyworth Plumbing Co., Inc.",217 E Cama St,Charlotte,NC,28217,(704) 523-2696,,,,,2,,1,,,,28217,
"I.R.V. Plumbing, Inc.",362 Crompton St,Charlotte,NC,28273,(704) 544-0200,,irvplumbing@yahoo.com,,,2,,1,,,,28273,
Jim Dickerson Co.,7832 Pence Rd,Charlotte,NC,28215,(704) 331-0544,,,,,2,,1,,,,28215,
John J. Oates Plumbing Co.,1032 Gum Branch Rd,Charlotte,NC,28214,(704) 392-4248,,,,,2,,1,,,,28214,
Any Plumbing,7028 Wallace Rd,Charlotte,NC,28212,(704) 877-4107,,anyplumbingnc@gmail.com,,,2,,1,,,,28212,
Best Rate Plumbing,28201 Lake Norman Cove Dr,Charlotte,NC,28201,(704) 588-6165,,,,,2,,1,,,,28201,
"Bill Hefner Plumbing Service,Inc.",204 E Peterson Dr,Charlotte,NC,28217,(704) 529-1929,,,,,2,,1,,,,28217,
Bliss Plumbing,"8421 Old Statesville Road, Suite 12",Charlotte,NC,28269,(704) 918-6004,,,,,2,,1,,,,28269,
